Address,Zone,Type,Total Area,Bathrooms,Bedrooms,Vacancies,Price,Description,Link
"Rua Cristiano Viana, Cerqueira César",sp+sao-paulo+centro,casas,102,2,2,3,4500,Locação Casa Cerqueira César São Paulo,/imovel/aluguel-casa-2-quartos-com-varanda-cerqueira-cesar-centro-sao-paulo-sp-102m2-id-2507834078/
"Rua dos Franceses, Bela Vista",sp+sao-paulo+centro,casas,320,5,12,8,19700,SOBRADO COMERCIAL COM DEZ SALAS NA BELA VISTA,/imovel/aluguel-casa-12-quartos-bela-vista-centro-sao-paulo-sp-320m2-id-2515091882/
"Avenida da Aclimação, Aclimação",sp+sao-paulo+centro,casas,360,2,3,5,30000,SãO PAULO - Casa Padrão - Aclimação,/imovel/venda-casa-3-quartos-aclimacao-centro-sao-paulo-sp-360m2-id-2493963275/
"Rua das Palmeiras, Jardim Azano I",sp+sao-paulo+centro,casas,125,2,3,2,1500,Sobrado para venda ou aluguel no Jardim Azano I,/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-azano-i-centro-sao-paulo-sp-125m2-id-2516002848/
"Travessa Vila Nilo, Aclimação",sp+sao-paulo+centro,casas,80,2,2,0,3500,SÃO PAULO - CASA DE VILA - ACLIMACAO,/imovel/aluguel-casa-2-quartos-com-quintal-aclimacao-centro-sao-paulo-sp-80m2-id-2514580377/
"Avenida Pedroso da Silveira, Pari",sp+sao-paulo+centro,casas,118,4,3,1,3600,São Paulo - Casa Padrão - Pari,/imovel/aluguel-casa-3-quartos-mobiliado-pari-centro-sao-paulo-sp-118m2-id-2515918280/
"Rua José Comparato, Aclimação",sp+sao-paulo+centro,casas,250,3,3,6,4300,"Sobrado com 3 dormitórios para alugar, 250 m² por R$ 4.300,00/mês - Aclimação - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-armario-de-cozinha-aclimacao-centro-sao-paulo-sp-250m2-id-2513978775/
Aclimação,sp+sao-paulo+centro,casas,90,1,2,0,1800,Sao Paulo - Casa Padrão - Aclimação,/imovel/aluguel-casa-2-quartos-aclimacao-centro-sao-paulo-sp-90m2-id-2516115981/
"Rua Pedro Inácio de Araújo, Vila Sao Silvestre",sp+sao-paulo+centro,casas,115,2,2,2,2000,SAO PAULO - Casa de Condomínio - Vila São Silvestre,/imovel/aluguel-casa-2-quartos-com-churrasqueira-vila-sao-silvestre-centro-sao-paulo-sp-115m2-id-2245655702/
"Rua Senador Felício dos Santos, Liberdade",sp+sao-paulo+centro,casas,66,1,2,0,1600,"Casa com 2 dormitórios para alugar, 66 m² por R$ 1.600/mês - Liberdade - São Paulo/SP",/imovel/aluguel-casa-2-quartos-com-lavanderia-coletiva-liberdade-centro-sao-paulo-sp-66m2-id-2515489808/
Luz,sp+sao-paulo+centro,casas,70,2,2,0,2500,Casa de 2 dormitórios - 70m² - Luz,/imovel/aluguel-casa-2-quartos-luz-centro-sao-paulo-sp-70m2-id-2514910384/
"Rua Antônio de Andrade, Pari",sp+sao-paulo+centro,casas,40,1,1,1,1000,Casa para aluguel tem 40 metros quadrados com 1 quarto em Canindé - São Paulo - SP,/imovel/aluguel-casa-1-quarto-com-area-de-servico-pari-centro-sao-paulo-sp-40m2-id-2510811276/
Aclimação,sp+sao-paulo+centro,casas,278,4,4,3,3200,"Sobrado com 4 dormitórios para alugar, 278 m² por R$ 3.200,00/mês - Aclimação - São Paulo/SP",/imovel/aluguel-casa-4-quartos-com-ar-condicionado-aclimacao-centro-sao-paulo-sp-278m2-id-2511809085/
"Avenida Pedroso da Silveira, Pari",sp+sao-paulo+centro,casas,118,3,2,1,2800,São Paulo - Casa Padrão - Pari,/imovel/aluguel-casa-2-quartos-com-armario-embutido-pari-centro-sao-paulo-sp-118m2-id-2515917876/
"Rua Vila do Conde, Bom Retiro",sp+sao-paulo+centro,casas,100,1,2,2,1870,São Paulo - Casa Padrão - Bom Retiro,/imovel/aluguel-casa-2-quartos-com-armario-embutido-bom-retiro-centro-sao-paulo-sp-100m2-id-2513066178/
Aclimação,sp+sao-paulo+centro,casas,230,3,3,2,4200,"Sobrado com 3 dormitórios para alugar, 230 m² por R$ 4.200/mês - Aclimação - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-cozinha-aclimacao-centro-sao-paulo-sp-230m2-id-2509769479/
"Rua Alagoas, Higienópolis",sp+sao-paulo+centro,casas,40,1,1,1,2500,"Sobrado com 1 dormitório para alugar, 40 m² por R$ 2.500,00/mês - Higienópolis - São Paulo/SP",/imovel/aluguel-casa-1-quarto-com-piscina-higienopolis-centro-sao-paulo-sp-40m2-id-2513471214/
"Rua Araguaia, Canindé",sp+sao-paulo+centro,casas,150,1,3,0,2000,"Casa Residencial/Escritório para locação no Canindé, 150m²",/imovel/aluguel-casa-3-quartos-com-area-de-servico-caninde-centro-sao-paulo-sp-150m2-id-2443839836/
"Rua Saturno, Aclimação",sp+sao-paulo+centro,casas,120,3,3,2,4000,SãO PAULO - Casa Padrão - Aclimação,/imovel/aluguel-casa-3-quartos-aclimacao-centro-sao-paulo-sp-120m2-id-2515625585/
"Rua Alabastro, Aclimação",sp+sao-paulo+centro,casas,160,3,3,1,4100,Sobrado para locação Residencial/Comercial,/imovel/aluguel-casa-3-quartos-aclimacao-centro-sao-paulo-sp-160m2-id-2515853845/
"Rua Pais de Andrade, Aclimação",sp+sao-paulo+centro,casas,80,2,2,1,3200,SAO PAULO - CASA DE VILA - ACLIMACAO,/imovel/aluguel-casa-2-quartos-aclimacao-centro-sao-paulo-sp-80m2-id-2516068174/
"Rua Tupi, Santa Cecília",sp+sao-paulo+centro,casas,150,2,2,2,5800,SãO PAULO - Casa Padrão - Santa Cecília,/imovel/aluguel-casa-2-quartos-com-quintal-santa-cecilia-centro-sao-paulo-sp-150m2-id-2442134028/
"Alameda Tietê, Cerqueira César",sp+sao-paulo+centro,casas,200,3,3,1,15000,"Casa para alugar, 200 m² por R$ 15.000,00/mês - Cerqueira Cezar - São Paulo/SP",/imovel/aluguel-casa-3-quartos-cerqueira-cesar-centro-sao-paulo-sp-200m2-id-2503556114/
"Rua Coronel Diogo, Aclimação",sp+sao-paulo+centro,casas,110,2,3,0,2500,"Casa Residencial/Comercial com 3 dormitórios/salas para alugar, 110 m² por R$ 2.500/mês - Aclimação",/imovel/aluguel-casa-3-quartos-com-armario-de-cozinha-aclimacao-centro-sao-paulo-sp-110m2-id-2511917592/
"Rua Bela Cintra, Cerqueira César",sp+sao-paulo+centro,apartamentos,56,2,1,0,5404,Duplex Housi Bela Cintra - 1 dormitório - Jardins,/imovel/aluguel-apartamento-1-quarto-mobiliado-cerqueira-cesar-centro-sao-paulo-sp-56m2-id-2494833624/
"Rua Piauí, Higienópolis",sp+sao-paulo+centro,apartamentos,105,1,2,1,3400,"Apartamento com 2 dormitórios, 105 m² - venda por R$ 1.065.000,00 ou aluguel por R$ 3.400,00 - Higie",/imovel/venda-apartamento-2-quartos-higienopolis-centro-sao-paulo-sp-105m2-id-2516372886/
"Rua Augusta, Consolação",sp+sao-paulo+centro,apartamentos,35,1,1,1,2400,Apartamento com 35m² 1 dormitório (suíte) mobiliado 1 vaga de garagem - Consolação - São Paulo/SP,/imovel/venda-apartamento-1-quarto-mobiliado-consolacao-centro-sao-paulo-sp-35m2-id-2500958843/
"Rua Bela Cintra, Cerqueira César",sp+sao-paulo+centro,apartamentos,50,2,2,1,2900,"Imperdível Apto 02 dorms, 01 suíte e 01 vaga 50m² Cerqueira César/Consolação",/imovel/aluguel-apartamento-2-quartos-com-piscina-cerqueira-cesar-centro-sao-paulo-sp-50m2-id-2515395631/
"Rua Baronesa de Itu, Higienópolis",sp+sao-paulo+centro,apartamentos,30,1,1,1,2500,Apartamento para aluguel tem 30 metros quadrados com 1 quarto em Indianópolis - São Paulo - SP,/imovel/aluguel-apartamento-1-quarto-mobiliado-higienopolis-centro-sao-paulo-sp-30m2-id-2514944974/
"Rua Dona Antônia de Queirós, Consolação",sp+sao-paulo+centro,apartamentos,40,1,1,1,2200,"Apartamento com 1 dormitório para alugar, 40 m² por R$ 2.200,00/mês - Consolação - São Paulo/SP",/imovel/aluguel-apartamento-1-quarto-com-piscina-consolacao-centro-sao-paulo-sp-40m2-id-2514095448/
"Rua Dona Antônia de Queirós, Consolação",sp+sao-paulo+centro,apartamentos,40,1,1,1,2200,"Apartamento com 1 dormitório para alugar, 40 m² por R$ 2.200,00/mês - Consolação - São Paulo/SP",/imovel/aluguel-apartamento-1-quarto-com-piscina-consolacao-centro-sao-paulo-sp-40m2-id-2514678988/
"Rua Vinte e Cinco de Janeiro, Luz",sp+sao-paulo+centro,apartamentos,50,1,2,1,2000,Apartamento para aluguel com 50 metros quadrados com 2 quartos em Luz - São Paulo - São Paulo,/imovel/aluguel-apartamento-2-quartos-com-piscina-luz-centro-sao-paulo-sp-50m2-id-2516210479/
"Rua Major Quedinho, Centro",sp+sao-paulo+centro,apartamentos,53,2,2,1,3300,Apartamento com 2 dormitórios para locação de 53 m² por R$ 3.300/mês - Bela Vista,/imovel/aluguel-apartamento-2-quartos-mobiliado-centro-centro-sao-paulo-sp-53m2-id-2514103310/
"Rua Conselheiro Furtado, Centro",sp+sao-paulo+centro,apartamentos,55,1,2,1,1700,Apartamento para aluguel com 55 metros quadrados com 2 quartos em Liberdade - São Paulo - SP,/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-centro-centro-sao-paulo-sp-55m2-id-2513464796/
Consolação,sp+sao-paulo+centro,apartamentos,44,1,1,1,1850,São Paulo - Apartamento Padrão - Consolação,/imovel/aluguel-apartamento-1-quarto-consolacao-centro-sao-paulo-sp-44m2-id-2516267505/
"Rua Caio Prado, Consolação",sp+sao-paulo+centro,apartamentos,56,1,2,1,3800,Apartamento Mobiliado para alugar | Cadoro Residências | 2 dormitórios | 1 vaga de garagem,/imovel/aluguel-apartamento-2-quartos-mobiliado-consolacao-centro-sao-paulo-sp-56m2-id-2516166508/
"Rua Maria Antônia, Vila Buarque",sp+sao-paulo+centro,apartamentos,54,1,1,0,1500,Apartamento na quadra da Universidade Mackenzie e do metrô,/imovel/aluguel-apartamento-1-quarto-vila-buarque-centro-sao-paulo-sp-54m2-id-2515886444/
"Alameda Olga, Santa Cecília",sp+sao-paulo+centro,apartamentos,51,1,1,1,3000,Apartamento para aluguel com 51 metros quadrados com 1 quarto em Barra Funda - São Paulo - SP,/imovel/aluguel-apartamento-1-quarto-mobiliado-santa-cecilia-centro-sao-paulo-sp-51m2-id-2514447892/
"Rua Doutor Albuquerque Lins, Santa Cecília",sp+sao-paulo+centro,apartamentos,120,2,3,1,4000,Apartamento para aluguel possui 120 metros quadrados com 3 quartos em Santa Cecília - São Paulo - SP,/imovel/aluguel-apartamento-3-quartos-com-academia-santa-cecilia-centro-sao-paulo-sp-120m2-id-2516082971/
"Rua Frei Caneca, Bela Vista",sp+sao-paulo+centro,apartamentos,45,1,1,1,1700,"Apartamento com 1 dormitório para alugar, 45 m² por R$ 1.700,00/mês - Bela Vista - São Paulo/SP",/imovel/aluguel-apartamento-1-quarto-bela-vista-centro-sao-paulo-sp-45m2-id-2514422690/
"Rua Pedro Taques, Consolação",sp+sao-paulo+centro,apartamentos,46,1,1,1,2300,Apartamento para aluguel com 46 metros quadrados com 1 quarto em Consolação - São Paulo - SP,/imovel/aluguel-apartamento-1-quarto-mobiliado-consolacao-centro-sao-paulo-sp-46m2-id-2515972618/
"Rua Bela Cintra, Consolação",sp+sao-paulo+centro,apartamentos,55,1,1,1,2500,Rua Bela Cintra - Alugo Apto mobiliado,/imovel/aluguel-apartamento-1-quarto-mobiliado-consolacao-centro-sao-paulo-sp-55m2-id-2515874675/
"Rua Bueno de Andrade, Aclimação",sp+sao-paulo+centro,apartamentos,65,2,3,2,2300,SÃO PAULO - APARTAMENTO - ACLIMACAO,/imovel/aluguel-apartamento-3-quartos-com-piscina-aclimacao-centro-sao-paulo-sp-65m2-id-2516183782/
"Rua São Vicente de Paulo, Santa Cecília",sp+sao-paulo+centro,apartamentos,45,2,1,1,1750,Apartamento com sacada de 45m².,/imovel/aluguel-apartamento-1-quarto-com-piscina-santa-cecilia-centro-sao-paulo-sp-45m2-id-2516022024/
"Rua Piauí, Higienópolis",sp+sao-paulo+centro,apartamentos,52,1,2,1,2900,2 DORMITORIOS - HIGIENOPOLIS !!!,/imovel/aluguel-apartamento-2-quartos-com-piscina-higienopolis-centro-sao-paulo-sp-52m2-id-2511517292/
"Rua Imaculada Conceição, Santa Cecília",sp+sao-paulo+centro,apartamentos,72,2,2,2,3800,"Apartamento com 2 dormitórios para alugar, 72 m² por R$ 3.800,00/mês - Santa Cecília - São Paulo/SP",/imovel/aluguel-apartamento-2-quartos-com-piscina-santa-cecilia-centro-sao-paulo-sp-72m2-id-2514762952/
"Rua Augusta, Consolação",sp+sao-paulo+centro,apartamentos,66,2,2,1,3700,São Paulo - Apartamento Padrão - Consolação,/imovel/aluguel-apartamento-2-quartos-com-piscina-consolacao-centro-sao-paulo-sp-66m2-id-2515228487/
"Rua Francisco Justino de Azevedo, Aclimação",sp+sao-paulo+centro,apartamentos,70,2,2,2,2700,São Paulo - Apartamento Padrão - Aclimação,/imovel/aluguel-apartamento-2-quartos-com-piscina-aclimacao-centro-sao-paulo-sp-70m2-id-2516341674/
"Rua Janumas, Vila Ema",sp+sao-paulo+zona-leste,casas,120,1,2,1,1500,"Casa em Vila Santa Clara, São Paulo - SP - São Paulo",/imovel/aluguel-casa-2-quartos-vila-ema-zona-leste-sao-paulo-sp-120m2-id-2513342802/
Jardim Danfer,sp+sao-paulo+zona-leste,casas,250,3,4,4,5000,São Paulo - Casa Padrão - Jardim Danfer,/imovel/aluguel-casa-4-quartos-com-quintal-jardim-danfer-zona-leste-sao-paulo-sp-250m2-id-2514994200/
Chácara Califórnia,sp+sao-paulo+zona-leste,casas,106,1,2,1,2500,Sobrado com 02 dormitório para alugar no Tatuapé - São Paulo - SP,/imovel/aluguel-casa-2-quartos-chacara-california-zona-leste-sao-paulo-sp-106m2-id-2516409415/
"Rua Dona Maria Cândida de Lima, Vila Paulo Silas",sp+sao-paulo+zona-leste,casas,320,2,3,4,1800,"Casa para Locação em São Paulo, Vila Paulo Silas, 3 dormitórios, 1 suíte, 2 banheiros, 4 vagas",/imovel/aluguel-casa-3-quartos-vila-paulo-silas-zona-leste-sao-paulo-sp-320m2-id-2516271294/
São Mateus,sp+sao-paulo+zona-leste,casas,150,3,3,2,1500,São Paulo - Casa Padrão - CIDADE SÃO MATEUS,/imovel/aluguel-casa-3-quartos-sao-mateus-zona-leste-sao-paulo-sp-150m2-id-2516134498/
Tatuapé,sp+sao-paulo+zona-leste,casas,120,2,2,2,2300,São Paulo - Casa Padrão - TATUAPE,/imovel/aluguel-casa-2-quartos-com-area-de-servico-tatuape-zona-leste-sao-paulo-sp-120m2-id-2514571758/
"Rua Uhland, Vila Ema",sp+sao-paulo+zona-leste,casas,100,2,2,3,1400,"Casa com 2 dormitórios para alugar, 100 m² por R$ 1.400,00/mês - Vila Ema - São Paulo/SP",/imovel/aluguel-casa-2-quartos-com-cozinha-vila-ema-zona-leste-sao-paulo-sp-100m2-id-2514645388/
Penha De Franca,sp+sao-paulo+zona-leste,casas,250,2,3,4,2350,São Paulo - Casa Padrão - Penha de França,/imovel/aluguel-casa-3-quartos-penha-de-franca-zona-leste-sao-paulo-sp-250m2-id-2515443794/
Vila Popular,sp+sao-paulo+zona-leste,casas,130,2,2,2,2000,São Paulo - Casa Padrão - VILA POPULAR,/imovel/aluguel-casa-2-quartos-vila-popular-zona-leste-sao-paulo-sp-130m2-id-2515035688/
Vila Divina Pastora,sp+sao-paulo+zona-leste,casas,95,1,3,2,1800,SÃO PAULO - Casa Padrão - VILA DIVINA PASTORA,/imovel/aluguel-casa-3-quartos-com-sala-de-jantar-vila-divina-pastora-zona-leste-sao-paulo-sp-95m2-id-2515756276/
Cangaíba,sp+sao-paulo+zona-leste,casas,200,2,3,2,2500,"Casa com 3 dormitórios para alugar, 200 m² por R$ 2.500,00/mês - Cangaíba - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-quintal-cangaiba-zona-leste-sao-paulo-sp-200m2-id-2516136046/
"Rua Pedro de Resende, Tatuapé",sp+sao-paulo+zona-leste,casas,100,4,3,5,3200,Casa Térrea no Tatuapé,/imovel/aluguel-casa-3-quartos-tatuape-zona-leste-sao-paulo-sp-100m2-id-2514832622/
Vila Matilde,sp+sao-paulo+zona-leste,casas,150,2,3,1,1400,São Paulo - Casa Padrão - Vila Matilde,/imovel/aluguel-casa-3-quartos-com-quintal-vila-matilde-zona-leste-sao-paulo-sp-150m2-id-2516151790/
"Rua dos Cambistas, Vila Bancaria",sp+sao-paulo+zona-leste,casas,90,2,2,2,1100,São Paulo - Casa Padrão - Vila Bancária,/imovel/aluguel-casa-2-quartos-com-quintal-vila-bancaria-zona-leste-sao-paulo-sp-90m2-id-2516106738/
"Rua Adélia Maria Felícia de Souza, Vila Carmosina",sp+sao-paulo+zona-leste,casas,136,3,4,2,2200,Casa de 3 andares com 4 dormitórios e 1 suíte,/imovel/aluguel-casa-4-quartos-vila-carmosina-zona-leste-sao-paulo-sp-136m2-id-2516330006/
Parque da Vila Prudente,sp+sao-paulo+zona-leste,casas,180,2,2,2,2500,"Casa com 2 dormitórios para alugar, 180 m² por R$ 2.500,00/mês - Vila Prudente (Zona Leste) - São Pa",/imovel/aluguel-casa-2-quartos-com-churrasqueira-parque-da-vila-prudente-zona-leste-sao-paulo-sp-180m2-id-2516312383/
Água Rasa,sp+sao-paulo+zona-leste,casas,125,2,3,2,1800,São Paulo - Casa Padrão - Água Rasa,/imovel/aluguel-casa-3-quartos-com-churrasqueira-agua-rasa-zona-leste-sao-paulo-sp-125m2-id-2513894396/
"Rua Astorga, Vila Guilhermina",sp+sao-paulo+zona-leste,casas,135,3,3,3,2826,São Paulo - Casa Padrão - Vila Guilhermina,/imovel/aluguel-casa-3-quartos-mobiliado-vila-guilhermina-zona-leste-sao-paulo-sp-135m2-id-2516160449/
"Rua Aldino, Chácara Belenzinho",sp+sao-paulo+zona-leste,casas,120,2,2,1,2300,Linda Casa para Alugar Chácara Belenzinho.,/imovel/aluguel-casa-2-quartos-chacara-belenzinho-zona-leste-sao-paulo-sp-120m2-id-2516060304/
"Rua Juçaral, Parada XV de Novembro",sp+sao-paulo+zona-leste,casas,144,2,2,1,1600,"Casa com 2 dormitórios para alugar, 144 m² por R$ 1.600/mês - Parada XV de Novembro - São Paulo/SP",/imovel/aluguel-casa-2-quartos-parada-xv-de-novembro-zona-leste-sao-paulo-sp-144m2-id-2513821683/
"Rua General Sócrates, Penha",sp+sao-paulo+zona-leste,casas,140,1,2,1,2200,Casa para aluguel com 140 metros quadrados com 2 quartos em Penha de França - São Paulo - SP,/imovel/aluguel-casa-2-quartos-penha-zona-leste-sao-paulo-sp-140m2-id-2514422321/
"Rua Luís da Guerra, Vila Industrial",sp+sao-paulo+zona-leste,casas,120,2,3,3,1600,Casa para venda possui 120 metros quadrados com 3 quartos em Jardim Angela - Z/L - São Paulo - SP,/imovel/aluguel-casa-3-quartos-vila-industrial-zona-leste-sao-paulo-sp-120m2-id-2513244338/
"Rua Miranda Jordão, Chácara Mafalda",sp+sao-paulo+zona-leste,casas,99,1,2,2,1750,Sobrado em condomínio para locação próximo ao Shopping Anália Franco,/imovel/aluguel-casa-2-quartos-com-armario-de-cozinha-chacara-mafalda-zona-leste-sao-paulo-sp-99m2-id-2516200606/
"Rua Barbacena, Jardim Ana Rosa",sp+sao-paulo+zona-leste,casas,180,4,3,2,3000,"Sobrado com 3 dormitórios para alugar, 180 m² por R$ 3.000,00/mês - Jardim Ana Rosa - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-area-de-servico-jardim-ana-rosa-zona-leste-sao-paulo-sp-180m2-id-2514109040/
"Avenida Regente Feijó, Jardim Anália Franco",sp+sao-paulo+zona-leste,apartamentos,55,1,1,2,3500,Apartamento para aluguel possui 55 metros quadrados com 1 quarto,/imovel/aluguel-apartamento-1-quarto-com-piscina-jardim-analia-franco-zona-leste-sao-paulo-sp-55m2-id-2513380179/
"Rua Melo Peixoto, Tatuapé",sp+sao-paulo+zona-leste,apartamentos,50,1,2,1,1300,APARTAMENTO - TATUAPÉ - METRÔ,/imovel/aluguel-apartamento-2-quartos-com-piscina-tatuape-zona-leste-sao-paulo-sp-50m2-id-2491614218/
"Rua Pastor Agenor Caldeira Diniz, Jardim Imperador",sp+sao-paulo+zona-leste,apartamentos,55,1,2,1,1150,"Apartamento com 2 dormitórios para alugar, 55 m² por R$ 1.150,00/mês - Jardim Imperador (Zona Leste)",/imovel/aluguel-apartamento-2-quartos-com-tv-a-cabo-jardim-imperador-zona-leste-sao-paulo-sp-55m2-id-2516381412/
Parque São Jorge,sp+sao-paulo+zona-leste,apartamentos,64,2,2,1,2300,Apartamento 2 dormitorios no Tatuapé,/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-parque-sao-jorge-zona-leste-sao-paulo-sp-64m2-id-2516333486/
Vila Bertioga,sp+sao-paulo+zona-leste,apartamentos,80,2,2,1,1900,MARAVILHOSO APARTAMENTO PARA VENDA NA MOOCA,/imovel/aluguel-apartamento-2-quartos-vila-bertioga-zona-leste-sao-paulo-sp-80m2-id-2516362427/
"Rua Maria Otília, Vila Regente Feijó",sp+sao-paulo+zona-leste,apartamentos,40,1,1,1,2200,Apartamento para aluguel com 40 metros quadrados com 1 quarto em Vila Regente Feijó - São Paulo - SP,/imovel/aluguel-apartamento-1-quarto-mobiliado-vila-regente-feijo-zona-leste-sao-paulo-sp-40m2-id-2514969702/
Brás,sp+sao-paulo+zona-leste,apartamentos,60,2,2,1,1900,AO LADO DA ESTAÇÃO DO METRO BRÁS,/imovel/aluguel-apartamento-2-quartos-bras-zona-leste-sao-paulo-sp-60m2-id-2513250091/
"Praça Barão de Itaqui, Vila Gomes Cardim",sp+sao-paulo+zona-leste,apartamentos,60,2,2,1,3150,IF550 Cond Deseo - 2 dorms sendo 1 suite/ 1 vaga/ lazer completo,/imovel/aluguel-apartamento-2-quartos-com-piscina-vila-gomes-cardim-zona-leste-sao-paulo-sp-60m2-id-2515380485/
Jardim Anália Franco,sp+sao-paulo+zona-leste,apartamentos,76,2,2,2,3500,"Apartamento com 2 dormitórios para alugar, 76 m² por R$ 3.500,00/mês - Jardim Anália Franco - São Pa",/imovel/aluguel-apartamento-2-quartos-mobiliado-jardim-analia-franco-zona-leste-sao-paulo-sp-76m2-id-2514748789/
